Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,85.0,82.88888888888889,85.0,82.47619047619047
Random Forest,85.0,84.63492063492063,85.0,83.36123136123135
XGBoost,83.33333333333334,82.52380952380953,83.33333333333334,81.86387686387687
Gradient Boosting,81.66666666666667,84.0,81.66666666666667,81.93121693121694
ANN,78.33333333333333,79.92063492063492,78.33333333333333,76.98075998075998
Logistic Regression,78.33333333333333,78.44444444444444,78.33333333333333,77.96825396825398
Decision Tree,75.0,76.61111111111111,75.0,73.93121693121694
AdaBoost,50.0,37.936507936507944,50.0,39.49494949494948
SVM,38.333333333333336,46.32323232323232,38.333333333333336,37.80952380952381
KNN,20.0,16.238095238095237,20.0,16.852813852813853
